accession	gene_name
WP_033285321	ctpD
EFE79062	ctpD
WP_026247290	ctpD
WP_026854291	ctpD
WP_030493999	ctpD
WP_098025022	ctpD
WP_086777309	ctpD
WP_039639588	ctpD
AJC61641	ctpD
AOT57509	ctpD
WP_084492709	ctpD
WP_020577836	ctpD
WP_056703974	ctpD
WP_086559564	ctpD
WP_062008333	ctpD
WP_051804300	ctpD
WP_043732698	ctpD
WP_063345902	ctpD
KPC71810	ctpD
WP_088577251	ctpD
WP_032794471	ctpD
WP_097892369	ctpD
KND24797	ctpD
WP_050362353	ctpD
WP_079079052	ctpD
WP_067467019	ctpD
WP_043687451	ctpD
WP_071046742	ctpD
WP_043224144	ctpD
WP_033894168	ctpD
WP_079143200	ctpD
WP_014151257	ctpD
WP_037838359	ctpD
WP_078915697	ctpD
WP_086670546	ctpD
WP_037696548	ctpD
WP_093683593	ctpD
WP_019069365	ctpD
WP_067902538	ctpD
WP_061928905	ctpD
WP_062760294	ctpD
WP_034951362	ctpD
WP_024127254	ctpD
WP_042372834	ctpD
WP_058940071	ctpD
WP_098017104	ctpD
SHW13313	ctpD
WP_051158231	ctpD
OKJ79074	ctpD
WP_097214910	ctpD
WP_098898696	ctpD
WP_014176238	ctpD
WP_051874498	ctpD
WP_012067478	actR
WP_029958955	actR
WP_018098633	actR
WP_003531971	actR
WP_010968328	actR
WP_028002051	actR
WP_027992985	actR
WP_066876416	actR
WP_026619427	actR
WP_026615229	actR
WP_064242300	actR
WP_060640350	actR
WP_065997742	actR
WP_097521374	actR
ASY71019	actR
WP_037128473	actR
WP_037418585	actR
WP_014766543	actR
WP_040962151	actR
WP_012709891	actR
WP_037390543	actR
WP_014330432	actR
WP_062585897	actR
WP_071832537	actR
WP_018236152	actR
WP_065781636	actR
WP_025425369	actR
WP_071020401	actR
WP_034802128	actR
WP_057252080	actR
WP_069458940	actR
OJU02181	actR
WP_065774279	actR
WP_058321585	actR
WP_034852534	actR
WP_074062989	actR
WP_056330093	actR
WP_097137541	actR
WP_077968661	actR
ARM10354	actR
WP_064332032	actR
WP_028740154	actR
WP_074066152	actR
WP_037163499	actR
WP_037096669	actR
WP_060502458	actR
WP_039843445	actR
WP_092586509	actR
WP_004673721	actR
WP_037142507	actR
WP_064649767	actR
WP_037116872	actR
WP_016556903	actR
WP_028749002	actR
WP_007797961	actR
WP_037208869	actR
WP_068955932	actR
WP_069060480	actR
WP_077548723	actR
WP_052640903	actR
WP_064708206	actR
AOO90982	actR
WP_011423459	actR
EJB04866	actR
WP_088683004	actR
WP_027682291	actR
WP_077992815	actR
WP_064696347	actR
WP_038685941	actR
WP_097584093	actR
WP_039622955	actR
WP_085857700	actR
WP_077978093	actR
WP_092753902	actR
WP_088675342	actR
WP_097625154	actR
WP_064800168	actR
WP_007632021	actR
EJZ20730	actR
WP_025657901	actR
WP_018859449	actR
WP_037131460	actR
WP_024313160	actR
WP_007528789	actR
WP_024707989	actR
WP_037195497	actR
WP_064712437	actR
EJC68777	actR
WP_012759590	actR
WP_097618082	actR
WP_097591899	actR
EJC74868	actR
WP_064835522	actR
WP_037182356	actR
WP_056541610	actR
WP_064686320	actR
